diagnostic,n_features,auroc,ci_low,ci_high,n_scored_rows,bootstrap_replicates
total_generated_tokens,1,0.4879084872989698,0.4592775673600903,0.5145967803008136,44795,2000
reasoning_plus_answer_tokens,2,0.5347547116659787,0.5209943968168266,0.5479994609969014,44795,2000
frozen_axis_1d_reference,1,0.678327205225169,0.6577289507101767,0.6988412523709688,44795,2000
frozen_full_linear_reference,4096,0.8781966622349124,0.8653166567621265,0.8900510079553158,44795,2000
